transaction_id,user_id,timestamp,amount,hour_of_day,day_of_week,merchant_category,channel,merchant_risk_score,channel_risk_score,device_trust_score,distance_from_home_km,distance_from_last_tx_km,seconds_since_last_tx,tx_count_past_5m,tx_count_past_1h,tx_sum_amount_past_24h,ratio_to_avg_amount_24h,is_international,is_fraud
00000000-0000-0000-63d9-03ae9131c580,usr_00694,1786380452.6953833,19.44,16,0,restaurant,online,0.1,0.6,0.927,15.81,3.31,86400.0,0,0,0.0,0.96,0,0
00000000-0000-0000-6b21-ffa9c29ed4a2,usr_00660,1786380458.389608,26.62,16,0,grocery,p2p,0.05,0.45,0.706,12.27,4.23,86400.0,0,0,0.0,2.22,0,0
00000000-0000-0000-5450-2844bea7d9c1,usr_00813,1786380466.3197308,21.05,16,0,grocery,pos_chip,0.05,0.05,0.992,9.61,1.69,86400.0,0,0,0.0,0.86,0,0
00000000-0000-0000-03c7-2d8e3fe40865,usr_00557,1786380469.5159023,6.69,16,0,restaurant,online,0.1,0.6,0.851,1.33,5.47,86400.0,0,0,0.0,0.38,0,0
00000000-0000-0000-0f4d-b739839f76ee,usr_00649,1786380496.8698628,20.88,16,0,general_retail,pos_contactless,0.15,0.1,0.719,8.48,1.52,86400.0,0,0,0.0,0.8,0,0
00000000-0000-0000-03a8-44a7ff875553,usr_00725,1786380516.813153,89.48,16,0,restaurant,pos_chip,0.1,0.05,0.892,2.91,4.04,86400.0,0,0,0.0,1.12,0,0
00000000-0000-0000-7929-5f3e9e3ffbc3,usr_00418,1786380536.7842402,25.17,16,0,health,pos_chip,0.08,0.05,0.78,7.58,7.49,86400.0,0,0,0.0,0.79,0,0
00000000-0000-0000-0745-44b84c512ff4,usr_00332,1786380560.9936357,27.24,16,0,grocery,pos_chip,0.05,0.05,0.481,0.89,0.23,86400.0,0,0,0.0,1.25,0,0
00000000-0000-0000-1ac0-6e43d230fa47,usr_00132,1786380618.2745507,72.76,16,0,general_retail,online,0.15,0.6,0.871,4.1,2.26,86400.0,0,0,0.0,1.5,0,0
00000000-0000-0000-100f-d1377c3c5f38,usr_00423,1786380619.982536,10.6,16,0,grocery,p2p,0.05,0.45,0.633,2.93,7.08,86400.0,0,0,0.0,0.78,0,0
00000000-0000-0000-19b3-43d1d5fc15e9,usr_00407,1786380632.71852,18.92,16,0,electronics,pos_chip,0.65,0.05,0.583,0.46,0.41,86400.0,0,0,0.0,0.35,0,0
00000000-0000-0000-626c-5588fc72cdd3,usr_00172,1786380638.9070857,25.55,16,0,grocery,pos_chip,0.05,0.05,0.645,3.65,11.47,86400.0,0,0,0.0,1.01,1,0
00000000-0000-0000-3cc4-45e3343ac8dd,usr_00512,1786380669.9616897,15.9,16,0,general_retail,online,0.15,0.6,0.955,5.78,4.09,86400.0,0,0,0.0,0.45,0,0
00000000-0000-0000-595e-ddf16bbd859f,usr_00873,1786380723.060521,45.47,16,0,restaurant,pos_contactless,0.1,0.1,0.675,4.24,5.93,86400.0,0,0,0.0,1.32,0,0
00000000-0000-0000-6852-0956831bcead,usr_00619,1786380731.53356,207.13,16,0,general_retail,pos_chip,0.15,0.05,0.957,1.86,5.3,86400.0,0,0,0.0,2.62,0,0
00000000-0000-0000-21f6-bcc63ab922e2,usr_00039,1786380747.215031,110.85,16,0,grocery,online,0.05,0.6,0.821,16.08,1.22,86400.0,0,0,0.0,2.27,0,0
00000000-0000-0000-128f-e1726a7e0c77,usr_00477,1786380748.4171093,21.76,16,0,grocery,pos_chip,0.05,0.05,0.913,11.1,3.54,86400.0,0,0,0.0,1.3,0,0
00000000-0000-0000-4807-d673545ed5ec,usr_00041,1786380764.2830014,74.32,16,0,general_retail,online,0.15,0.6,0.852,23.78,0.82,86400.0,0,0,0.0,1.62,0,0
00000000-0000-0000-6fb2-53c082858e3a,usr_00899,1786380773.5297797,12.13,16,0,electronics,pos_chip,0.65,0.05,0.701,7.79,2.85,86400.0,0,0,0.0,0.92,0,0
00000000-0000-0000-03ea-495849d440f5,usr_00933,1786380797.7761095,35.43,16,0,grocery,atm,0.05,0.25,0.867,20.71,1.14,86400.0,0,0,0.0,0.4,0,0
00000000-0000-0000-6776-28e7048cba1c,usr_00966,1786380814.5204797,30.43,16,0,utilities,pos_chip,0.04,0.05,0.913,3.57,11.49,86400.0,0,0,0.0,1.07,0,0
00000000-0000-0000-3a54-76e47b8f310e,usr_00968,1786380854.8623264,85.83,16,0,utilities,pos_chip,0.04,0.05,0.671,28.68,0.89,86400.0,0,0,0.0,1.49,0,0
00000000-0000-0000-3d4a-3deb3ffbd142,usr_00473,1786380868.6977086,29.63,16,0,general_retail,pos_chip,0.15,0.05,0.721,10.09,6.67,86400.0,0,0,0.0,0.8,0,0
00000000-0000-0000-7633-f19bb1d57d97,usr_00717,1786380884.6223736,43.34,16,0,general_retail,pos_chip,0.15,0.05,0.587,14.33,1.44,86400.0,0,0,0.0,0.87,0,0
00000000-0000-0000-4024-43b500ad18a9,usr_00160,1786380931.3976898,25.07,16,0,restaurant,atm,0.1,0.25,0.866,22.85,22.79,86400.0,0,0,0.0,1.35,0,0
00000000-0000-0000-7ac1-b00960f27bba,usr_00912,1786380945.86201,39.37,16,0,utilities,pos_chip,0.04,0.05,0.819,2.96,0.8,86400.0,0,0,0.0,0.85,0,0
00000000-0000-0000-75b4-b5cc423e4b06,usr_00140,1786380970.5811498,51.99,16,0,utilities,online,0.04,0.6,0.763,8.49,1.33,86400.0,0,0,0.0,1.22,1,0
00000000-0000-0000-4a8f-7e4b27e65816,usr_00336,1786380976.9119244,25.29,16,0,general_retail,online,0.15,0.6,0.68,11.18,2.92,86400.0,0,0,0.0,1.14,0,0
00000000-0000-0000-697b-c57e626a5a98,usr_00572,1786381012.447822,29.91,16,0,restaurant,online,0.1,0.6,0.726,1.16,3.1,86400.0,0,0,0.0,0.77,0,0
00000000-0000-0000-1b2b-3fdb90760aa3,usr_00844,1786381038.2800472,26.36,16,0,utilities,pos_chip,0.04,0.05,0.791,2.35,5.14,86400.0,0,0,0.0,0.74,0,0
00000000-0000-0000-069c-b4f207f09717,usr_00017,1786381065.1142702,19.43,16,0,travel,p2p,0.4,0.45,0.664,8.53,1.36,86400.0,0,0,0.0,1.04,0,0
00000000-0000-0000-18a2-ee0bf0175f0d,usr_00802,1786381093.3286607,59.29,16,0,utilities,online,0.04,0.6,0.966,15.44,2.55,86400.0,0,0,0.0,1.46,0,0
00000000-0000-0000-04b7-c6b62d0e8d96,usr_00179,1786381116.8719027,42.15,16,0,grocery,pos_chip,0.05,0.05,0.898,22.42,3.78,86400.0,0,0,0.0,1.07,0,0
00000000-0000-0000-77da-34ad6e851dc6,usr_00291,1786381118.900157,65.42,16,0,health,online,0.08,0.6,0.818,11.44,3.17,86400.0,0,0,0.0,1.8,0,0
00000000-0000-0000-15b8-d01e598e6c8d,usr_00781,1786381128.0797186,40.3,16,0,electronics,online,0.65,0.6,0.888,4.15,1.6,86400.0,0,0,0.0,1.28,0,0
00000000-0000-0000-7d4a-26c9ac0da6b7,usr_00207,1786381180.461234,47.58,16,0,utilities,atm,0.04,0.25,0.673,1.4,21.82,86400.0,0,0,0.0,2.99,0,0
00000000-0000-0000-6d59-40b303804896,usr_00086,1786381224.2658622,29.34,17,0,utilities,atm,0.04,0.25,0.844,0.86,16.98,86400.0,0,0,0.0,1.17,0,0
